排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
40,切腹,Masaki Kobayashi,Tatsuya Nakadai / Akira Ishihama / Shima Iwashita,剧情/悬疑,日本,1962,2小时 13分钟,8.6,81000 ,"$15,222 "
41,致命魔术,Christopher Nolan,Christian Bale / Hugh Jackman / Scarlett Johansson,剧情/悬疑/科幻,英国/美国,2006,2小时 10分钟,8.5,1500000 ,"$109,676,311 "
42,美国X档案,Tony Kaye,Edward Norton / Edward Furlong / Beverly D'Angelo,犯罪/剧情,美国,1998,1小时 59分钟,8.5,1200000 ,"$23,875,714 "
43,这个杀手不太冷,Luc Besson,Jean Reno / Gary Oldman / Natalie Portman,动作/犯罪/剧情,法国/美国,1994,1小时 50分钟,8.5,1300000 ,"$20,330,788 "
44,蜘蛛侠：纵横宇宙,Joaquim Dos Santos,Shameik Moore / Hailee Steinfeld / Brian Tyree Henry,动画/动作/冒险,美国,2023,2小时 20分钟,8.5,466000 ,"$690,824,738 "
45,卡萨布兰卡,Michael Curtiz,Humphrey Bogart / Ingrid Bergman / Paul Henreid,剧情/爱情/战争,美国,1942,1小时 42分钟,8.5,636000 ,"$4,731,471 "
46,非常嫌疑犯,Bryan Singer,Kevin Spacey / Gabriel Byrne / Chazz Palminteri,犯罪/剧情/悬疑,美国/德国,1995,1小时 46分钟,8.5,1200000 ,"$23,341,568 "
47,天堂电影院,Giuseppe Tornatore,Philippe Noiret / Enzo Cannavale / Antonella Attili,剧情/爱情,意大利/法国,1988,2小时 54分钟,8.5,304000 ,"$13,396,557 "
48,触不可及,Olivier Nakache,Fran?ois Cluzet / Omar Sy / Anne Le Ny,喜剧/剧情,法国,2011,1小时 52分钟,8.5,985000 ,"$426,590,315 "
49,异形,Ridley Scott,Sigourney Weaver / Tom Skerritt / John Hurt,恐怖/科幻,英国/美国,1979,1小时 57分钟,8.5,1000000 ,"$109,102,567 "
50,摩登时代,Charles Chaplin,Charles Chaplin / Paulette Goddard / Henry Bergman,喜剧/剧情/爱情,美国,1936,1小时 27分钟,8.5,275000 ,"$463,618 "
51,后窗,Alfred Hitchcock,James Stewart / Grace Kelly / Wendell Corey,剧情/悬疑/惊悚,美国,1954,1小时 52分钟,8.5,551000 ,"$37,905,475 "
52,西部往事,Sergio Leone,Henry Fonda / Charles Bronson / Claudia Cardinale,剧情/西部,意大利/美国,1968,2小时 46分钟,8.5,371000 ,"$5,435,312 "
53,被解救的姜戈,Quentin Tarantino,Jamie Foxx / Christoph Waltz / Leonardo DiCaprio,剧情/西部,美国,2012,2小时 45分钟,8.5,1800000 ,"$426,076,293 "
54,城市之光,Charles Chaplin,Charles Chaplin / Virginia Cherrill / Florence Lee,喜剧/剧情/爱情,美国,1931,1小时 27分钟,8.5,208000 ,"$55,154 "
55,现代启示录,Francis Ford Coppola,Martin Sheen / Marlon Brando / Robert Duvall,剧情/悬疑/战争,美国,1979,2小时 27分钟,8.4,747000 ,"$105,150,841 "
56,机器人总动员,Andrew Stanton,Ben Burtt / Elissa Knight / Jeff Garlin,动画/冒险/家庭,美国/日本,2008,1小时 38分钟,8.4,1300000 ,"$527,403,656 "
57,记忆碎片,Christopher Nolan,Guy Pearce / Carrie-Anne Moss / Joe Pantoliano,剧情/悬疑/惊悚,美国,2000,1小时 53分钟,8.4,1400000 ,"$40,060,108 "
58,沙丘2,Denis Villeneuve,Timothée Chalamet / Zendaya / Rebecca Ferguson,动作/冒险/剧情,美国/加拿大/阿联酋/意大利/新西兰/约旦/冈比亚,2024,2小时 46分钟,8.5,647000 ,"$714,844,358 "
59,夺宝奇兵,Steven Spielberg,Harrison Ford / Karen Allen / Paul Freeman,动作/冒险,美国,1981,1小时 55分钟,8.4,1100000 ,"$389,925,971 "
60,窃听风暴,Florian Henckel von Donnersmarck,Ulrich Mühe / Martina Gedeck / Sebastian Koch,剧情/悬疑/惊悚,德国/法国,2006,2小时 17分钟,8.4,430000 ,"$77,672,685 "
61,复仇者联盟3：无限战争,Anthony Russo,Robert Downey Jr. / Chris Hemsworth / Mark Ruffalo,动作/冒险/科幻,美国/挪威,2018,2小时 29分钟,8.4,1300000 ,"$2,052,415,039 "
62,日落大道,Billy Wilder,William Holden / Gloria Swanson / Erich von Stroheim,剧情/黑色,美国,1950,1小时 50分钟,8.4,250000 ,"$310,954 "
63,蜘蛛侠：平行宇宙,Bob Persichetti,Shameik Moore / Jake Johnson / Hailee Steinfeld,动画/动作/冒险,加拿大/美国,2018,1小时 57分钟,8.4,739000 ,"$393,602,435 "
64,控方证人,Billy Wilder,Tyrone Power / Marlene Dietrich / Charles Laughton,犯罪/剧情/悬疑,美国,1957,1小时 56分钟,8.4,151000 ,"$7,903 "
